il_kodu,il_adi,ilce_adi,sandik_sayisi,secmen_sayisi
62,TUNCELİ,ÇEMİŞGEZEK,34,5.801
62,TUNCELİ,HOZAT,21,4.360
62,TUNCELİ,MAZGİRT,46,6.355
62,TUNCELİ,NAZIMİYE,21,2.669
62,TUNCELİ,OVACIK,41,5.591
62,TUNCELİ,PERTEK,48,8.755
62,TUNCELİ,PÜLÜMÜR,20,3.085
62,TUNCELİ,MERKEZ,105,28.955
63,ŞANLIURFA,AKÇAKALE,219,58.148
63,ŞANLIURFA,BİRECİK,199,56.776
63,ŞANLIURFA,BOZOVA,138,33.079
63,ŞANLIURFA,CEYLANPINAR,166,51.482
63,ŞANLIURFA,EYYÜBİYE,622,203.950
63,ŞANLIURFA,HALFETİ,99,26.737
63,ŞANLIURFA,HALİLİYE,705,227.406
63,ŞANLIURFA,HARRAN,181,43.635
63,ŞANLIURFA,HİLVAN,119,26.452
63,ŞANLIURFA,KARAKÖPRÜ,502,165.309
63,ŞANLIURFA,SİVEREK,512,152.672
63,ŞANLIURFA,SURUÇ,219,59.936
63,ŞANLIURFA,VİRANŞEHİR,401,114.277
64,UŞAK,BANAZ,104,27.949
64,UŞAK,EŞME,115,27.794
64,UŞAK,KARAHALLI,30,8.169
64,UŞAK,SİVASLI,54,15.532
64,UŞAK,ULUBEY,47,10.185
64,UŞAK,MERKEZ,577,190.823
65,VAN,BAHÇESARAY,36,8.063
65,VAN,BAŞKALE,109,27.346
65,VAN,ÇALDIRAN,130,33.277
65,VAN,ÇATAK,54,11.957
65,VAN,EDREMİT,239,82.452
65,VAN,ERCİŞ,341,104.040
65,VAN,GEVAŞ,67,18.200
65,VAN,GÜRPINAR,103,20.775
65,VAN,İPEKYOLU,643,229.342
65,VAN,MURADİYE,103,27.480
65,VAN,ÖZALP,129,35.797
65,VAN,SARAY,43,11.790
65,VAN,TUŞBA,297,96.092
66,YOZGAT,AKDAĞMADENİ,135,28.593
66,YOZGAT,AYDINCIK,38,7.657
66,YOZGAT,BOĞAZLIYAN,96,25.378
66,YOZGAT,ÇANDIR,15,3.458
66,YOZGAT,ÇAYIRALAN,42,9.297
66,YOZGAT,ÇEKEREK,70,14.152
66,YOZGAT,KADIŞEHRİ,39,7.474
66,YOZGAT,SARAYKENT,35,7.911
66,YOZGAT,SARIKAYA,108,23.928
66,YOZGAT,SORGUN,229,57.904
66,YOZGAT,ŞEFAATLİ,69,11.254
66,YOZGAT,YENİFAKILI,20,4.352
66,YOZGAT,YERKÖY,123,26.532
66,YOZGAT,MERKEZ,276,72.061
67,ZONGULDAK,ALAPLI,120,33.086
67,ZONGULDAK,ÇAYCUMA,264,74.393
67,ZONGULDAK,DEVREK,171,46.102
67,ZONGULDAK,EREĞLİ,431,134.726
67,ZONGULDAK,GÖKÇEBEY,62,17.193
67,ZONGULDAK,KİLİMLİ,86,26.211
67,ZONGULDAK,KOZLU,117,36.385
67,ZONGULDAK,MERKEZ,285,89.555
68,AKSARAY,AĞAÇÖREN,38,6.076
68,AKSARAY,MERKEZ,657,214.657
68,AKSARAY,ESKİL,73,19.056
68,AKSARAY,GÜLAĞAÇ,46,13.606
68,AKSARAY,GÜZELYURT,31,7.872
68,AKSARAY,ORTAKÖY,83,23.211
68,AKSARAY,SARIYAHŞİ,17,3.714
68,AKSARAY,SULTANHANI,25,8.087
69,BAYBURT,AYDINTEPE,30,4.877
69,BAYBURT,MERKEZ,221,46.433
69,BAYBURT,DEMİRÖZÜ,39,5.824
70,KARAMAN,AYRANCI,33,6.236
70,KARAMAN,BAŞYAYLA,12,2.636
70,KARAMAN,ERMENEK,91,21.211
70,KARAMAN,MERKEZ,476,145.703
70,KARAMAN,KAZIMKARABEKİR,15,3.239
70,KARAMAN,SARIVELİLER,39,8.875
71,KIRIKKALE,BAHŞILI,20,5.655
71,KIRIKKALE,BALIŞEYH,34,4.891
71,KIRIKKALE,ÇELEBİ,17,2.037
71,KIRIKKALE,DELİCE,57,7.317
71,KIRIKKALE,KARAKEÇİLİ,11,2.357
71,KIRIKKALE,KESKİN,75,11.363
71,KIRIKKALE,MERKEZ,407,144.316
71,KIRIKKALE,SULAKYURT,34,5.232
71,KIRIKKALE,YAHŞİHAN,62,19.839
72,BATMAN,MERKEZ,856,305.965
72,BATMAN,BEŞİRİ,87,18.789
72,BATMAN,GERCÜŞ,75,13.291
72,BATMAN,HASANKEYF,28,5.142
72,BATMAN,KOZLUK,155,37.483
72,BATMAN,SASON,98,18.890
73,ŞIRNAK,BEYTÜŞŞEBAP,49,11.337
73,ŞIRNAK,CİZRE,268,91.528
73,ŞIRNAK,GÜÇLÜKONAK,31,6.895
73,ŞIRNAK,İDİL,158,43.551
73,ŞIRNAK,SİLOPİ,249,83.278
73,ŞIRNAK,MERKEZ,184,60.510
73,ŞIRNAK,ULUDERE,85,27.080
74,BARTIN,AMASRA,47,11.577
74,BARTIN,MERKEZ,394,120.665
74,BARTIN,KURUCAŞİLE,34,5.409
74,BARTIN,ULUS,100,18.392
75,ARDAHAN,MERKEZ,115,28.785
75,ARDAHAN,ÇILDIR,43,6.717
75,ARDAHAN,DAMAL,18,3.840
75,ARDAHAN,GÖLE,72,17.241
75,ARDAHAN,HANAK,37,6.397
75,ARDAHAN,POSOF,53,5.081
76,IĞDIR,ARALIK,50,14.074
76,IĞDIR,MERKEZ,284,95.030
76,IĞDIR,KARAKOYUNLU,32,8.965
76,IĞDIR,TUZLUCA,107,15.743
77,YALOVA,ALTINOVA,72,22.515
77,YALOVA,ARMUTLU,27,8.740
77,YALOVA,ÇINARCIK,84,28.110
77,YALOVA,ÇİFTLİKKÖY,103,36.279
77,YALOVA,TERMAL,13,4.532
77,YALOVA,MERKEZ,289,104.640
78,KARABÜK,EFLANİ,62,7.278
78,KARABÜK,ESKİPAZAR,65,10.403
78,KARABÜK,MERKEZ,288,93.751
78,KARABÜK,OVACIK,44,3.347
78,KARABÜK,SAFRANBOLU,194,50.614
78,KARABÜK,YENİCE,73,16.521
79,KİLİS,ELBEYLİ,31,4.643
79,KİLİS,MERKEZ,286,80.653
79,KİLİS,MUSABEYLİ,54,8.345
79,KİLİS,POLATELİ,22,3.315
80,OSMANİYE,BAHÇE,57,16.377
80,OSMANİYE,DÜZİÇİ,195,59.683
80,OSMANİYE,HASANBEYLİ,15,3.871
80,OSMANİYE,KADİRLİ,290,94.684
80,OSMANİYE,MERKEZ,540,189.065
80,OSMANİYE,SUMBAS,36,10.504
80,OSMANİYE,TOPRAKKALE,37,11.951
81,DÜZCE,AKÇAKOCA,113,31.683
81,DÜZCE,CUMAYERİ,45,11.689
81,DÜZCE,ÇİLİMLİ,49,13.337
81,DÜZCE,MERKEZ,554,181.196
81,DÜZCE,GÖLYAKA,60,16.180
81,DÜZCE,GÜMÜŞOVA,46,13.076
81,DÜZCE,KAYNAŞLI,59,15.850
81,DÜZCE,YIĞILCA,58,11.380
